batter_id,name,vr_k_rate,vr_bb_rate,vr_hbp_rate,vr_hr_rate,vr_single_rate,vr_double_rate,vr_triple_rate,vr_gbout_rate,vr_fbout_rate,vr_ldout_rate,vr_fc_rate,vr_pa,vl_k_rate,vl_bb_rate,vl_hbp_rate,vl_hr_rate,vl_single_rate,vl_double_rate,vl_triple_rate,vl_gbout_rate,vl_fbout_rate,vl_ldout_rate,vl_fc_rate,vl_pa
457705,Andrew McCutchen,0.246377,0.107890,0.005636,0.027375,0.135266,0.036232,0.000805,0.205314,0.177939,0.044283,0.012882,1251.000000,0.255556,0.105556,0.007407,0.031481,0.148148,0.050000,0.000000,0.151852,0.192593,0.048148,0.009259,546.000000
467793,Carlos Santana,0.201531,0.105442,0.009354,0.021259,0.122449,0.034014,0.000000,0.185374,0.246599,0.062075,0.011905,1177.000000,0.163355,0.110375,0.002208,0.044150,0.158940,0.024283,0.000000,0.203091,0.225166,0.055188,0.013245,457.000000
500743,Miguel Rojas,0.137733,0.053085,0.002869,0.008608,0.180775,0.047346,0.000000,0.296987,0.203730,0.050215,0.018651,697.000000,0.123203,0.096509,0.002053,0.039014,0.186858,0.069815,0.000000,0.207392,0.209446,0.053388,0.012320,489.000000
502054,Tommy Pham,0.233146,0.095506,0.007022,0.019663,0.148876,0.046348,0.004213,0.240169,0.151685,0.037921,0.015449,714.000000,0.212219,0.118971,0.000000,0.019293,0.125402,0.012862,0.000000,0.231511,0.212219,0.051447,0.016077,315.000000
502671,Paul Goldschmidt,0.255439,0.054795,0.004029,0.022562,0.153102,0.045125,0.002417,0.211926,0.189363,0.047542,0.013699,1249.000000,0.158940,0.097682,0.016556,0.031457,0.140728,0.081126,0.000000,0.195364,0.211921,0.052980,0.013245,618.000000
514888,Jose Altuve,0.162411,0.075077,0.005618,0.035240,0.158325,0.046476,0.001021,0.247191,0.202247,0.050562,0.015832,1972.000000,0.208403,0.114286,0.006723,0.030252,0.200000,0.038655,0.000000,0.144538,0.198319,0.050420,0.008403,598.000000
516782,Starling Marte,0.221053,0.055639,0.031579,0.022556,0.171429,0.040602,0.001504,0.252632,0.148872,0.037594,0.016541,666.000000,0.219124,0.065737,0.009960,0.019920,0.169323,0.047809,0.003984,0.247012,0.161355,0.039841,0.015936,502.000000
518595,Travis d'Arnaud,0.302941,0.066176,0.022059,0.023529,0.105882,0.060294,0.000000,0.200000,0.164706,0.041176,0.013235,680.000000,0.262911,0.046948,0.042254,0.051643,0.098592,0.028169,0.000000,0.187793,0.215962,0.051643,0.014085,213.000000
518692,Freddie Freeman,0.164109,0.097403,0.007084,0.033648,0.155844,0.070248,0.004723,0.198937,0.204250,0.051358,0.012397,1714.000000,0.182857,0.078571,0.021429,0.040000,0.154286,0.041429,0.004286,0.231429,0.185714,0.045714,0.014286,703.000000
519317,Giancarlo Stanton,0.325736,0.065527,0.002849,0.066477,0.145299,0.037037,0.000000,0.140551,0.166192,0.041785,0.008547,1055.000000,0.312785,0.111872,0.002283,0.045662,0.089041,0.061644,0.000000,0.152968,0.171233,0.043379,0.009132,446.000000
521692,Salvador Perez,0.205003,0.047852,0.015226,0.045677,0.123437,0.048940,0.000000,0.215334,0.227841,0.057096,0.013594,1853.000000,0.210708,0.013817,0.020725,0.031088,0.138169,0.039724,0.000000,0.179620,0.283247,0.070812,0.012090,596.000000
542303,Marcell Ozuna,0.253851,0.107815,0.007986,0.042784,0.135197,0.030804,0.000000,0.163719,0.197946,0.049629,0.010268,1757.000000,0.233333,0.170175,0.000000,0.028070,0.126316,0.043860,0.000000,0.182456,0.163158,0.040351,0.012281,575.000000
543309,Kyle Higashioka,0.235521,0.087516,0.002574,0.039897,0.131274,0.034749,0.002574,0.173745,0.223938,0.056628,0.011583,777.000000,0.257143,0.034286,0.005714,0.037143,0.137143,0.045714,0.002857,0.188571,0.222857,0.057143,0.011429,350.000000
543510,James McCann,0.307329,0.056738,0.011820,0.028369,0.139480,0.052009,0.000000,0.191489,0.160757,0.040189,0.011820,423.000000,0.205036,0.035971,0.017986,0.021583,0.147482,0.050360,0.000000,0.280576,0.179856,0.043165,0.017986,279.000000
543685,Anthony Rendon,0.147059,0.093137,0.024510,0.000000,0.137255,0.049020,0.000000,0.225490,0.245098,0.063725,0.014706,204.000000,0.147059,0.117647,0.000000,0.000000,0.205882,0.000000,0.000000,0.176471,0.294118,0.058824,0.000000,34.000000
