batter_id,name,team,hand,pa,k_rate,bb_rate,hbp_rate,hr_rate,single_rate,double_rate,triple_rate,gbout_rate,fbout_rate,ldout_rate,fc_rate,gidp_prob_given_gbout,sf_prob_given_fbout,sac_bunt_prob
457705,Andrew McCutchen,TEX,R,1777.000000,0.249149,0.108400,0.006243,0.028944,0.135074,0.040863,0.000568,0.191260,0.182179,0.045403,0.011918,0.092179,0.032419,0.000000
467793,Carlos Santana,AZ,R,1672.000000,0.192561,0.104379,0.007199,0.026995,0.130774,0.031794,0.000000,0.193761,0.239952,0.059988,0.012597,0.072674,0.020000,0.000000
500743,Miguel Rojas,LAD,R,1131.000000,0.138175,0.074402,0.002657,0.017715,0.178919,0.059345,0.000000,0.251550,0.209035,0.052259,0.015943,0.089404,0.023729,0.007073
502054,Tommy Pham,NYM,R,1416.000000,0.222695,0.091489,0.004255,0.020567,0.151064,0.038298,0.003546,0.237589,0.172340,0.043262,0.014894,0.081461,0.036184,0.000000
502671,Paul Goldschmidt,NYY,R,1822.000000,0.221111,0.067778,0.008333,0.026111,0.152778,0.058333,0.001667,0.204444,0.197222,0.049444,0.012778,0.092072,0.013514,0.000000
514888,Jose Altuve,HOU,R,2435.000000,0.174524,0.086849,0.006203,0.035980,0.169148,0.045079,0.000827,0.217949,0.199338,0.050041,0.014061,0.115865,0.019900,0.000821
516782,Starling Marte,KC,R,1128.000000,0.223602,0.062112,0.018634,0.022183,0.167702,0.045253,0.002662,0.251109,0.152618,0.038154,0.015972,0.073090,0.046512,0.004433
518595,Travis d'Arnaud,LAA,R,878.000000,0.292711,0.062642,0.015945,0.030752,0.105923,0.053531,0.000000,0.201595,0.179954,0.044419,0.012528,0.095745,0.030457,0.000000
518692,Freddie Freeman,LAD,L,2317.000000,0.176983,0.089364,0.011770,0.037053,0.153444,0.064516,0.002616,0.202703,0.198779,0.049695,0.013078,0.109091,0.031579,0.000000
519317,Giancarlo Stanton,NYY,R,1426.000000,0.321328,0.083333,0.002825,0.060028,0.132062,0.036017,0.000000,0.144774,0.168079,0.042373,0.009181,0.146789,0.013423,0.000000
521692,Salvador Perez,KC,R,2339.000000,0.201040,0.041594,0.017331,0.044194,0.126516,0.046794,0.000000,0.202340,0.245667,0.061525,0.012998,0.110664,0.018336,0.000000
542303,Marcell Ozuna,PIT,R,2207.000000,0.240218,0.130118,0.004095,0.041401,0.136033,0.033667,0.000000,0.173794,0.183803,0.045951,0.010919,0.135468,0.035644,0.000000
543309,Kyle Higashioka,TEX,R,1062.000000,0.242938,0.070621,0.003766,0.041431,0.141243,0.035782,0.002825,0.176083,0.219397,0.054614,0.011299,0.090452,0.017182,0.000942
543510,James McCann,AZ,R,657.000000,0.262195,0.051829,0.015244,0.027439,0.144817,0.054878,0.000000,0.221037,0.167683,0.041159,0.013720,0.058442,0.043796,0.010654
543685,Anthony Rendon,LAA,R,238.000000,0.147059,0.096639,0.021008,0.000000,0.147059,0.042017,0.000000,0.218487,0.252101,0.063025,0.012605,0.072727,0.053333,0.000000
543760,Marcus Semien,NYM,R,2196.000000,0.171376,0.087511,0.008204,0.026436,0.143118,0.033728,0.001823,0.179125,0.269827,0.067457,0.011395,0.071770,0.032432,0.000000
543807,George Springer,TOR,R,2096.000000,0.196145,0.111807,0.010602,0.044819,0.138313,0.044819,0.002410,0.208193,0.183614,0.045783,0.013494,0.095652,0.021008,0.000000
543877,Christian Vázquez,HOU,R,908.000000,0.187225,0.062775,0.009912,0.025330,0.143172,0.048458,0.000000,0.218062,0.232379,0.058370,0.014317,0.104265,0.030303,0.011013
545121,Ildemaro Vargas,AZ,R,810.000000,0.119255,0.040994,0.007453,0.021118,0.192547,0.055901,0.008696,0.321739,0.170186,0.042236,0.019876,0.054545,0.040936,0.008642
545341,Randal Grichuk,NYY,R,975.000000,0.213772,0.058582,0.005139,0.030832,0.110997,0.067831,0.004111,0.198356,0.238438,0.059609,0.012333,0.082927,0.044828,0.000000
545361,Mike Trout,LAA,R,1708.000000,0.285373,0.154627,0.013731,0.057910,0.105075,0.026269,0.002388,0.117015,0.184478,0.045970,0.007164,0.115385,0.031088,0.000000
547180,Bryce Harper,PHI,L,2191.000000,0.200646,0.112085,0.006458,0.047970,0.128690,0.060424,0.002306,0.198801,0.184041,0.046125,0.012454,0.072052,0.016032,0.000456
553993,Eugenio Suárez,CIN,R,2364.000000,0.289407,0.075000,0.017373,0.060593,0.114407,0.041949,0.000847,0.147881,0.194492,0.048729,0.009322,0.099730,0.043554,0.000000
571448,Nolan Arenado,AZ,R,1852.000000,0.146659,0.051602,0.005975,0.029875,0.163498,0.034764,0.001086,0.208582,0.275937,0.068984,0.013036,0.122549,0.031496,0.000000
