pitcher_id,name,i1_k_rate,i1_bb_rate,i1_hbp_rate,i1_hr_rate,i1_single_rate,i1_double_rate,i1_triple_rate,i1_gbout_rate,i1_fbout_rate,i1_ldout_rate,i1_fc_rate,i1_pa,vr_k_rate,vr_bb_rate,vr_hbp_rate,vr_hr_rate,vr_single_rate,vr_double_rate,vr_triple_rate,vr_gbout_rate,vr_fbout_rate,vr_ldout_rate,vr_fc_rate,vr_pa,vl_k_rate,vl_bb_rate,vl_hbp_rate,vl_hr_rate,vl_single_rate,vl_double_rate,vl_triple_rate,vl_gbout_rate,vl_fbout_rate,vl_ldout_rate,vl_fc_rate,vl_pa
434378,Justin Verlander,0.209913,0.119534,0.005831,0.023324,0.119534,0.029155,0.014577,0.160350,0.244898,0.061224,0.011662,343.000000,0.187225,0.059471,0.013216,0.025330,0.154185,0.067181,0.002203,0.172907,0.245595,0.061674,0.011013,908.000000,0.202210,0.093923,0.006630,0.032044,0.150276,0.044199,0.007735,0.144751,0.247514,0.061878,0.008840,907.000000
445276,Kenley Jansen,,,,,,,,,,,,,0.269136,0.039506,0.007407,0.032099,0.118519,0.022222,0.000000,0.135802,0.291358,0.074074,0.009877,405.000000,0.257471,0.117241,0.000000,0.039080,0.110345,0.022989,0.004598,0.147126,0.234483,0.057471,0.009195,441.000000
453286,Max Scherzer,0.188450,0.085106,0.009119,0.091185,0.148936,0.063830,0.000000,0.115502,0.234043,0.057751,0.006079,329.000000,0.260300,0.058052,0.007491,0.050562,0.161049,0.029963,0.000000,0.151685,0.217228,0.054307,0.009363,534.000000,0.147625,0.083440,0.007702,0.068036,0.121951,0.060334,0.000000,0.137356,0.291399,0.073171,0.008986,779.000000
455119,Chris Martin,,,,,,,,,,,,,0.253230,0.002584,0.023256,0.041344,0.178295,0.062016,0.000000,0.160207,0.214470,0.054264,0.010336,389.000000,0.262590,0.039568,0.003597,0.021583,0.244604,0.017986,0.000000,0.201439,0.154676,0.039568,0.014388,284.000000
489446,Kirby Yates,,,,,,,,,,,,,0.337143,0.097143,0.011429,0.025714,0.097143,0.048571,0.000000,0.134286,0.191429,0.048571,0.008571,352.000000,0.299578,0.097046,0.000000,0.050633,0.021097,0.092827,0.000000,0.168776,0.206751,0.050633,0.012658,241.000000
500779,Jose Quintana,0.176904,0.171990,0.002457,0.022113,0.103194,0.029484,0.000000,0.216216,0.211302,0.051597,0.014742,407.000000,0.142509,0.096224,0.009744,0.027406,0.150426,0.038368,0.000609,0.225335,0.235688,0.059074,0.014616,1642.000000,0.199195,0.100604,0.010060,0.056338,0.132797,0.026157,0.004024,0.255533,0.158954,0.040241,0.016097,497.000000
518585,Fernando Cruz,0.461538,0.000000,0.000000,0.153846,0.153846,0.000000,0.000000,0.153846,0.076923,0.000000,0.000000,13.000000,0.378788,0.128788,0.022727,0.026515,0.117424,0.017045,0.000000,0.107955,0.155303,0.037879,0.007576,529.000000,0.334278,0.135977,0.000000,0.042493,0.099150,0.053824,0.002833,0.144476,0.141643,0.036827,0.008499,354.000000
518876,Merrill Kelly,0.224359,0.102564,0.012821,0.038462,0.150641,0.048077,0.022436,0.198718,0.150641,0.038462,0.012821,312.000000,0.251029,0.071331,0.004115,0.024691,0.134431,0.048011,0.000000,0.204390,0.200274,0.049383,0.012346,729.000000,0.191038,0.091981,0.001179,0.048349,0.112028,0.045991,0.014151,0.242925,0.189858,0.047170,0.015330,849.000000
518886,Craig Kimbrel,,,,,,,,,,,,,0.323944,0.093897,0.014085,0.004695,0.126761,0.023474,0.004695,0.126761,0.215962,0.056338,0.009390,213.000000,0.280000,0.160000,0.010000,0.050000,0.185000,0.010000,0.000000,0.100000,0.160000,0.040000,0.005000,201.000000
519141,Drew Pomeranz,0.307692,0.153846,0.000000,0.000000,0.153846,0.000000,0.000000,0.000000,0.307692,0.076923,0.000000,26.000000,0.193069,0.069307,0.032178,0.037129,0.160891,0.049505,0.000000,0.158416,0.232673,0.056931,0.009901,416.000000,0.330233,0.046512,0.009302,0.000000,0.125581,0.018605,0.000000,0.106977,0.283721,0.069767,0.009302,220.000000
