pitcher_id,name,team,hand,pa,k_rate,bb_rate,hbp_rate,hr_rate,single_rate,double_rate,triple_rate,gbout_rate,fbout_rate,ldout_rate,fc_rate,gidp_prob_given_gbout,sf_prob_given_fbout
434378,Justin Verlander,DET,R,1815.000000,0.194705,0.076669,0.009928,0.028682,0.152234,0.055709,0.004964,0.158853,0.246553,0.061776,0.009928,0.055556,0.030411
445276,Kenley Jansen,DET,R,776.000000,0.274026,0.074026,0.003896,0.032468,0.105195,0.024675,0.002597,0.142857,0.264935,0.066234,0.009091,0.059829,0.019608
453286,Max Scherzer,TOR,R,1123.000000,0.221728,0.067676,0.008905,0.057881,0.134461,0.047195,0.000000,0.133571,0.255565,0.064114,0.008905,0.056250,0.022284
455119,Chris Martin,TEX,R,673.000000,0.257143,0.018045,0.015038,0.033083,0.206015,0.043609,0.000000,0.177444,0.189474,0.048120,0.012030,0.134921,0.025316
489446,Kirby Yates,LAA,R,593.000000,0.321976,0.097104,0.006814,0.035775,0.066440,0.066440,0.000000,0.148211,0.197615,0.049404,0.010221,0.000000,0.034483
500779,Jose Quintana,COL,L,2014.000000,0.162860,0.100794,0.010427,0.031281,0.140516,0.037736,0.001490,0.225919,0.219464,0.055114,0.014399,0.088843,0.047016
518585,Fernando Cruz,NYY,R,853.000000,0.356052,0.136310,0.014101,0.022327,0.108108,0.032902,0.001175,0.126910,0.155112,0.038778,0.008226,0.095652,0.018182
518876,Merrill Kelly,AZ,R,1916.000000,0.215144,0.070496,0.003133,0.032376,0.128460,0.047520,0.003655,0.226632,0.206266,0.051697,0.014621,0.058442,0.006073
518886,Craig Kimbrel,NYM,R,385.000000,0.304688,0.127604,0.013021,0.028646,0.145833,0.018229,0.002604,0.122396,0.182292,0.046875,0.007812,0.100000,0.034091
519141,Drew Pomeranz,LAA,L,571.000000,0.248658,0.059034,0.026834,0.026834,0.137746,0.025045,0.000000,0.155635,0.246869,0.062612,0.010733,0.064516,0.011561
519242,Chris Sale,ATL,L,2167.000000,0.306876,0.061375,0.020766,0.023535,0.136133,0.033226,0.005538,0.186894,0.170743,0.042916,0.011998,0.064965,0.010799
